CRN,Date,Day,Time,Hr,Shift,UCC,PGrp,Ugrp,Location,City,RD,Neighborhood,Pct,Beat,Nature_of_Call
170324062, 3/24/17,Fr,10:03,10,Day,2308,LAR,LB,"124 E HARRIS ST, SAV",SAVANNAH,4106A,Central Historic District,02,24,"LARCENY,FROM BUILDING"
170323153, 3/23/17,Th,17:24,17,Afternoon,2309,LAR,LY,523 E GASTON ST,SAVANNAH,3112B,SE Historic District,02,24,"LARCENY,FROM YARDS"
170323098, 3/23/17,Th,14:05,14,Day,2309,LAR,LY,508 E ANDERSON ST,SAVANNAH,4176B,Dixon Park,02,24,"LARCENY,FROM YARDS"
170321077, 3/21/17,Tu,13:04,13,Day,2309,LAR,LY,108 W GORDON ST,SAVANNAH,5116B,SW Historic District,02,25,"LARCENY,FROM YARDS"
170320098, 3/20/17,Mo,13:51,13,Day,2309,LAR,LY,619 E GWINNETT ST,SAVANNAH,3130B,Eastside,02,26,"LARCENY,FROM YARDS"
170323180, 3/23/17,Th,20:06,20,Afternoon,2317,LAR,LY,703 WHEATON ST,SAVANNAH,3120C,Eastside,02,26,"LARCENY,BICYCLE"
170325072, 3/25/17,Sa,12:01,12,Day,2317,LAR,LY,100 E BRYAN ST,SAVANNAH,0330X,NE Historic District,02,22,"LARCENY,BICYCLE"
170325113, 3/25/17,Sa,16:24,16,Afternoon,2317,LAR,LY,1017 E GWINNETT ST,SAVANNAH,3201B,Eastside,02,26,"LARCENY,BICYCLE"
170322052, 3/22/17,We,09:54,09,Day,2399,LAR,OL,ABERCORN ST/E LIBERTY ST,SAVANNAH,0760X,Central Historic District,02,24,"LARCENY,OTHER"
170324025, 3/24/17,Fr,05:55,05,Midnight,2404,AT,AT,506 PRICE ST,SAVANNAH,3112B,SE Historic District,02,24,AUTO THEFT
170319062, 3/19/17,Su,08:47,08,Day,2404,AT,AT,285 SCARBOROUGH ST,SAVANNAH,1280B,West Savannah,02,21,AUTO THEFT
170319185, 3/19/17,Su,21:48,21,Afternoon,2404,AT,AT,414 E HALL ST,SAVANNAH,4137X,SE Historic District,02,24,AUTO THEFT
170324147, 3/24/17,Fr,17:30,17,Afternoon,2404,AT,AT,BULL ST/W PARK AVE,SAVANNAH,5187X,W. Victorian District,02,25,AUTO THEFT
